title,artist,year,country,label
Ain’t No Sunshine,Michael Jackson,1971,Jamaica,Tamla Motown
Maria (You Were The Only One),Michael Jackson,1971,Jamaica,"Tamla, Motown"
Got To Be There / Maria (You Were The Only One),Michael Jackson,1971,UK,Motown
We've Got A Good Thing Going = Una Buena Cosa Andando,Michael Jackson,1972,Venezuela,Motown
Jackson 5 Maxi,Michael Jackson / The Jackson 5,1972,Netherlands,"Tamla Motown, Tamla Motown"
You've Got A Friend / Ain't No Sunshine,Michael Jackson,1972,Venezuela,Tamla Motown
Ain't No Sunshine,Michael Jackson,1972,Netherlands,"Tamla Motown, Tamla Motown"
Ain't No Sunshine,Michael Jackson,1972,UK,Tamla Motown
Ben,Michael Jackson,1972,Brazil,Motown
Ain't No Sunshine / Ben,Michael Jackson,1972,Spain,"Tamla Motown, Tamla Motown"
I Wanna Be Where You Are.,Michael Jackson,1972,New Zealand,"Motown, Motown"
Rockin' Robin,Michael Jackson,1972,Australia,Motown
Ben,Michael Jackson,1972,Brazil,Motown
Rockin' Robin / Hey Big Brother,Michael Jackson / Rare Earth,1972,Italy,Tamla Motown
Got To Be There,Michael Jackson,1972,Brazil,Motown
Rockin' Robin,Michael Jackson,1972,Mexico,Tamla Motown
Ben,Michael Jackson,1972,Mexico,Tamla Motown
Everybody Join Hands / Ain't No Sunshine,Debbie (6) / Michael Jackson,1972,Iran,"Royal, Royal"
Happy / In Our Small Way,Michael Jackson,1973,Australia,Tamla Motown
Morning Glow,Michael Jackson,1973,Ireland,Tamla Motown
With A Child's Heart / Morning Glow,Michael Jackson,1973,Canada,"Tamla Motown, Tamla Motown"
Ben / I Wanna Be Where You Are,Michael Jackson,1972,Guatemala,Tamla Motown
Got To Be There / Rockin' Robin,Michael Jackson,1973,US,Motown
I Wasn't Born Yet / All The Things You Are,Michael Jackson,1973,Italy,Tamla Motown
Too Young / Demasiado Joven,Michael Jackson,1973,Mexico,Tamla Motown
Ben / Mi Chica (My Girl),Michael Jackson,1973,Argentina,Tamla Motown
You've Got A Friend,Michael Jackson,1973,Mexico,Tamla Motown
With A Child's Heart,Michael Jackson,1973,US,Motown
